#  FGT mapping, timeStamp date=20120127  time=174050
# electId,geoID,   RDO(1;2),ARM(0-4),APV(0-9;12-21),chan(0-127),    disk(1-6),quad(A-D),layer(P;R),strip(P:0-719;R0-279+400-679),   ordinate(rad;cm),lowSpan(cm;rad),upSpan(cm;rad), geoName,  stat,ped(ADC),sigPed(ADC)
22423,18386,  2,2,17,23,  4,A,P,386,   0.7299,11.500,36.499,  4AP386,   0,282.0,36.1
22424,18408,  2,2,17,24,  4,A,P,408,   0.6838,11.500,36.218,  4AP408,   0,306.0,38.0
22425,17937,  2,2,17,25,  4,A,R,657,   13.6369,0.088,0.784,  4AR657,   0,354.0,15.6
22426,17938,  2,2,17,26,  4,A,R,658,   13.5415,0.088,0.784,  4AR658,   0,330.0,23.0
22427,18406,  2,2,17,27,  4,A,P,406,   0.6880,11.500,36.241,  4AP406,   0,366.0,15.5
22428,18410,  2,2,17,28,  4,A,P,410,   0.6796,11.500,36.197,  4AP410,   0,306.0,34.7
22429,18382,  2,2,17,29,  4,A,P,382,   0.7383,11.500,36.559,  4AP382,   0,306.0,34.3
22430,18416,  2,2,17,30,  4,A,P,416,   0.6671,11.500,36.136,  4AP416,   0,330.0,34.0
22431,17939,  2,2,17,31,  4,A,R,659,   13.4461,0.089,0.784,  4AR659,   0,354.0,14.9
22432,18418,  2,2,17,32,  4,A,P,418,   0.6629,11.500,36.118,  4AP418,   0,330.0,34.9
22433,18414,  2,2,17,33,  4,A,P,414,   0.6712,11.500,36.156,  4AP414,   0,330.0,31.3
22434,18374,  2,2,17,34,  4,A,P,374,   0.7550,11.500,36.687,  4AP374,   0,318.0,40.5
22435,18396,  2,2,17,35,  4,A,P,396,   0.7089,11.500,36.361,  4AP396,   0,330.0,32.6
22436,17944,  2,2,17,36,  4,A,R,664,   12.9692,0.092,0.784,  4AR664,   0,294.0,20.3
22437,18392,  2,2,17,37,  4,A,P,392,   0.7173,11.500,36.414,  4AP392,   0,330.0,31.4
22438,17934,  2,2,17,38,  4,A,R,654,   13.9230,0.086,0.784,  4AR654,   0,354.0,22.2
22439,18412,  2,2,17,39,  4,A,P,412,   0.6754,11.500,36.176,  4AP412,   0,390.0,16.1
22440,18424,  2,2,17,40,  4,A,P,424,   0.6503,11.500,36.065,  4AP424,   0,342.0,31.0
22441,18420,  2,2,17,41,  4,A,P,420,   0.6587,11.500,36.099,  4AP420,   0,330.0,31.4
22442,17945,  2,2,17,42,  4,A,R,665,   12.8739,0.093,0.784,  4AR665,   0,342.0,19.0
22443,18388,  2,2,17,43,  4,A,P,388,   0.7257,11.500,36.470,  4AP388,   0,330.0,31.6
22444,18370,  2,2,17,44,  4,A,P,370,   0.7634,11.500,36.755,  4AP370,   0,306.0,32.3
22445,18384,  2,2,17,45,  4,A,P,384,   0.7341,11.500,36.528,  4AP384,   0,330.0,32.8
22446,18426,  2,2,17,46,  4,A,P,426,   0.6461,11.500,36.049,  4AP426,   0,318.0,29.9
22447,17935,  2,2,17,47,  4,A,R,655,   13.8277,0.087,0.784,  4AR655,   0,378.0,14.3
22448,17932,  2,2,17,48,  4,A,R,652,   14.1138,0.085,0.784,  4AR652,   0,366.0,22.9
22449,17933,  2,2,17,49,  4,A,R,653,   14.0184,0.085,0.784,  4AR653,   0,366.0,20.9
22450,17959,  2,2,17,50,  4,A,R,679,   11.5385,0.104,0.784,  4AR679,   0,330.0,23.2
22451,18378,  2,2,17,51,  4,A,P,378,   0.7466,11.500,36.621,  4AP378,   0,342.0,34.4
22452,17956,  2,2,17,52,  4,A,R,676,   11.8247,0.101,0.784,  4AR676,   0,366.0,19.6
22453,18400,  2,2,17,53,  4,A,P,400,   0.7006,11.500,36.311,  4AP400,   0,330.0,31.9
22454,17953,  2,2,17,54,  4,A,R,673,   12.1108,0.099,0.784,  4AR673,   0,354.0,19.5
22455,18422,  2,2,17,55,  4,A,P,422,   0.6545,11.500,36.082,  4AP422,   0,354.0,27.8
22456,17950,  2,2,17,56,  4,A,R,670,   12.3970,0.096,0.784,  4AR670,   0,390.0,19.7
22457,17941,  2,2,17,57,  4,A,R,661,   13.2554,0.090,0.784,  4AR661,   0,354.0,18.3
22458,17951,  2,2,17,58,  4,A,R,671,   12.3016,0.097,0.784,  4AR671,   0,378.0,20.2
22459,17957,  2,2,17,59,  4,A,R,677,   11.7293,0.102,0.784,  4AR677,   0,330.0,19.7
22460,17952,  2,2,17,60,  4,A,R,672,   12.2062,0.098,0.784,  4AR672,   0,414.0,19.7
22461,17958,  2,2,17,61,  4,A,R,678,   11.6339,0.103,0.784,  4AR678,   0,390.0,20.7
22462,18432,  2,2,17,62,  4,A,P,432,   0.6335,11.500,36.004,  4AP432,   0,378.0,29.3
22463,18428,  2,2,17,63,  4,A,P,428,   0.6419,11.500,36.033,  4AP428,   0,330.0,25.9
22464,18434,  2,2,17,64,  4,A,P,434,   0.6293,11.500,35.990,  4AP434,   0,402.0,28.7
22465,18504,  2,2,17,65,  4,A,P,504,   0.4827,11.500,35.911,  4AP504,   0,414.0,32.6
22466,18494,  2,2,17,66,  4,A,P,494,   0.5037,11.500,35.875,  4AP494,   0,402.0,32.2
22467,18430,  2,2,17,67,  4,A,P,430,   0.6377,11.500,36.018,  4AP430,   0,354.0,22.8
22468,17910,  2,2,17,68,  4,A,R,630,   16.2122,0.074,0.784,  4AR630,   0,426.0,22.6
22469,17931,  2,2,17,69,  4,A,R,651,   14.2092,0.084,0.784,  4AR651,   0,426.0,20.2
22470,17930,  2,2,17,70,  4,A,R,650,   14.3046,0.084,0.784,  4AR650,   0,414.0,20.6
22471,18490,  2,2,17,71,  4,A,P,490,   0.5120,11.500,35.865,  4AP490,   0,462.0,17.3
22472,18440,  2,2,17,72,  4,A,P,440,   0.6168,11.500,35.953,  4AP440,   0,390.0,28.7
22473,18436,  2,2,17,73,  4,A,P,436,   0.6252,11.500,35.977,  4AP436,   0,426.0,30.2
22474,17908,  2,2,17,74,  4,A,R,628,   16.4029,0.073,0.784,  4AR628,   0,474.0,22.2
22475,17913,  2,2,17,75,  4,A,R,633,   15.9260,0.075,0.784,  4AR633,   0,414.0,21.5
22476,17909,  2,2,17,76,  4,A,R,629,   16.3075,0.073,0.784,  4AR629,   0,462.0,23.5
22477,18438,  2,2,17,77,  4,A,P,438,   0.6210,11.500,35.965,  4AP438,   0,414.0,28.5
22478,18442,  2,2,17,78,  4,A,P,442,   0.6126,11.500,35.942,  4AP442,   0,390.0,28.2
22479,18470,  2,2,17,79,  4,A,P,470,   0.5539,11.500,35.853,  4AP470,   0,438.0,31.5
22480,17928,  2,2,17,80,  4,A,R,648,   14.4953,0.083,0.784,  4AR648,   0,438.0,19.9
22481,17929,  2,2,17,81,  4,A,R,649,   14.3999,0.083,0.784,  4AR649,   0,438.0,20.2
22482,18506,  2,2,17,82,  4,A,P,506,   0.4785,11.500,35.920,  4AP506,   0,438.0,35.6
22483,18480,  2,2,17,83,  4,A,P,480,   0.5330,11.500,35.851,  4AP480,   0,450.0,15.6
22484,18500,  2,2,17,84,  4,A,P,500,   0.4911,11.500,35.895,  4AP500,   0,450.0,30.8
22485,18444,  2,2,17,85,  4,A,P,444,   0.6084,11.500,35.931,  4AP444,   0,402.0,27.5
22486,17927,  2,2,17,86,  4,A,R,647,   14.5907,0.082,0.784,  4AR647,   0,438.0,19.7
22487,17917,  2,2,17,87,  4,A,R,637,   15.5445,0.077,0.784,  4AR637,   0,474.0,17.3
22488,17926,  2,2,17,88,  4,A,R,646,   14.6861,0.082,0.784,  4AR646,   0,462.0,20.2
22489,18448,  2,2,17,89,  4,A,P,448,   0.6000,11.500,35.912,  4AP448,   0,462.0,15.6
22490,18476,  2,2,17,90,  4,A,P,476,   0.5414,11.500,35.850,  4AP476,   0,438.0,34.4
22491,18446,  2,2,17,91,  4,A,P,446,   0.6042,11.500,35.922,  4AP446,   0,426.0,29.8
22492,17925,  2,2,17,92,  4,A,R,645,   14.7815,0.081,0.784,  4AR645,   0,450.0,20.3
22493,18464,  2,2,17,93,  4,A,P,464,   0.5665,11.500,35.862,  4AP464,   0,450.0,31.3
22494,17924,  2,2,17,94,  4,A,R,644,   14.8768,0.080,0.784,  4AR644,   0,474.0,20.0
22495,18460,  2,2,17,95,  4,A,P,460,   0.5749,11.500,35.870,  4AP460,   0,462.0,30.8
22496,17912,  2,2,17,96,  4,A,R,632,   16.0214,0.075,0.784,  4AR632,   0,486.0,24.6
22497,18452,  2,2,17,97,  4,A,P,452,   0.5916,11.500,35.896,  4AP452,   0,462.0,30.6
22498,18492,  2,2,17,98,  4,A,P,492,   0.5079,11.500,35.870,  4AP492,   0,486.0,33.8
22499,18450,  2,2,17,99,  4,A,P,450,   0.5958,11.500,35.904,  4AP450,   0,474.0,15.7
22500,18484,  2,2,17,100,  4,A,P,484,   0.5246,11.500,35.855,  4AP484,   0,462.0,39.2
22501,18456,  2,2,17,101,  4,A,P,456,   0.5833,11.500,35.882,  4AP456,   0,438.0,30.7
22502,17923,  2,2,17,102,  4,A,R,643,   14.9722,0.080,0.784,  4AR643,   0,486.0,19.8
22503,18474,  2,2,17,103,  4,A,P,474,   0.5456,11.500,35.850,  4AP474,   0,486.0,16.3
22504,17922,  2,2,17,104,  4,A,R,642,   15.0676,0.079,0.784,  4AR642,   0,510.0,19.9
22505,18454,  2,2,17,105,  4,A,P,454,   0.5875,11.500,35.889,  4AP454,   0,450.0,31.4
22506,17921,  2,2,17,106,  4,A,R,641,   15.1630,0.079,0.784,  4AR641,   0,474.0,20.6
22507,18472,  2,2,17,107,  4,A,P,472,   0.5498,11.500,35.851,  4AP472,   0,462.0,31.7
22508,18486,  2,2,17,108,  4,A,P,486,   0.5204,11.500,35.858,  4AP486,   0,462.0,40.0
22509,18466,  2,2,17,109,  4,A,P,466,   0.5623,11.500,35.858,  4AP466,   0,486.0,15.7
22510,17920,  2,2,17,110,  4,A,R,640,   15.2584,0.078,0.784,  4AR640,   0,510.0,20.7
22511,18462,  2,2,17,111,  4,A,P,462,   0.5707,11.500,35.866,  4AP462,   0,438.0,31.3
22512,18478,  2,2,17,112,  4,A,P,478,   0.5372,11.500,35.850,  4AP478,   0,462.0,37.7
22513,18458,  2,2,17,113,  4,A,P,458,   0.5791,11.500,35.876,  4AP458,   0,474.0,32.3
22514,17914,  2,2,17,114,  4,A,R,634,   15.8306,0.076,0.784,  4AR634,   0,498.0,27.3
22515,18488,  2,2,17,115,  4,A,P,488,   0.5162,11.500,35.861,  4AP488,   0,486.0,34.1
22516,17919,  2,2,17,116,  4,A,R,639,   15.3537,0.078,0.784,  4AR639,   0,486.0,22.1
22517,18482,  2,2,17,117,  4,A,P,482,   0.5288,11.500,35.853,  4AP482,   0,522.0,15.9
22518,17918,  2,2,17,118,  4,A,R,638,   15.4491,0.078,0.784,  4AR638,   0,522.0,24.0
22519,17915,  2,2,17,119,  4,A,R,635,   15.7353,0.076,0.784,  4AR635,   0,522.0,17.5
22520,17916,  2,2,17,120,  4,A,R,636,   15.6399,0.077,0.784,  4AR636,   0,522.0,27.9
22521,17911,  2,2,17,121,  4,A,R,631,   16.1168,0.074,0.784,  4AR631,   0,486.0,23.3
22522,18468,  2,2,17,122,  4,A,P,468,   0.5581,11.500,35.855,  4AP468,   0,486.0,39.7
22523,18496,  2,2,17,123,  4,A,P,496,   0.4995,11.500,35.881,  4AP496,   0,474.0,37.8
22524,17907,  2,2,17,124,  4,A,R,627,   16.4983,0.073,0.784,  4AR627,   0,534.0,24.9
22525,18498,  2,2,17,125,  4,A,P,498,   0.4953,11.500,35.888,  4AP498,   0,498.0,38.2
22526,17906,  2,2,17,126,  4,A,R,626,   16.5937,0.072,0.784,  4AR626,   0,522.0,27.8
22527,18502,  2,2,17,127,  4,A,P,502,   0.4869,11.500,35.903,  4AP502,   0,546.0,40.6
22528,17895,  2,2,18,0,  4,A,R,615,   17.6429,0.068,0.784,  4AR615,   0,318.0,32.1
22529,18508,  2,2,18,1,  4,A,P,508,   0.4743,11.500,35.930,  4AP508,   4,150.0,23.9
22530,17893,  2,2,18,2,  4,A,R,613,   17.8336,0.067,0.784,  4AR613,   0,234.0,26.9
22531,18514,  2,2,18,3,  4,A,P,514,   0.4618,11.500,35.963,  4AP514,   4,138.0,21.5
22532,17889,  2,2,18,4,  4,A,R,609,   18.2151,0.066,0.784,  4AR609,   0,222.0,30.8
22533,18512,  2,2,18,5,  4,A,P,512,   0.4660,11.500,35.951,  4AP512,   4,150.0,25.9
22534,18510,  2,2,18,6,  4,A,P,510,   0.4702,11.500,35.940,  4AP510,   4,150.0,25.3
22535,18516,  2,2,18,7,  4,A,P,516,   0.4576,11.500,35.975,  4AP516,   4,150.0,40.3
22536,17892,  2,2,18,8,  4,A,R,612,   17.9290,0.067,0.784,  4AR612,   0,234.0,32.3
22537,18528,  2,2,18,9,  4,A,P,528,   0.4325,11.500,36.062,  4AP528,   4,150.0,20.5
22538,18540,  2,2,18,10,  4,A,P,540,   0.4073,11.500,36.173,  4AP540,   4,138.0,21.9
22539,18524,  2,2,18,11,  4,A,P,524,   0.4408,11.500,36.031,  4AP524,   0,222.0,40.9
22540,18548,  2,2,18,12,  4,A,P,548,   0.3906,11.500,36.260,  4AP548,   4,138.0,18.7
22541,18520,  2,2,18,13,  4,A,P,520,   0.4492,11.500,36.002,  4AP520,   0,234.0,38.3
22542,18554,  2,2,18,14,  4,A,P,554,   0.3780,11.500,36.332,  4AP554,   4,150.0,33.0
22543,18550,  2,2,18,15,  4,A,P,550,   0.3864,11.500,36.283,  4AP550,   0,246.0,36.6
22544,17901,  2,2,18,16,  4,A,R,621,   17.0706,0.070,0.784,  4AR621,   4,162.0,30.4
22545,17886,  2,2,18,17,  4,A,R,606,   18.5013,0.065,0.784,  4AR606,   0,234.0,25.1
22546,17900,  2,2,18,18,  4,A,R,620,   17.1660,0.070,0.784,  4AR620,   0,210.0,29.8
22547,18544,  2,2,18,19,  4,A,P,544,   0.3989,11.500,36.215,  4AP544,   0,222.0,37.1
22548,18564,  2,2,18,20,  4,A,P,564,   0.3570,11.500,36.466,  4AP564,   0,234.0,34.4
22549,17890,  2,2,18,21,  4,A,R,610,   18.1198,0.066,0.784,  4AR610,   0,246.0,21.7
22550,17894,  2,2,18,22,  4,A,R,614,   17.7382,0.068,0.784,  4AR614,   0,234.0,22.8
22551,18534,  2,2,18,23,  4,A,P,534,   0.4199,11.500,36.115,  4AP534,   0,270.0,18.5
22552,17885,  2,2,18,24,  4,A,R,605,   18.5967,0.064,0.784,  4AR605,   0,222.0,27.8
22553,18560,  2,2,18,25,  4,A,P,560,   0.3654,11.500,36.410,  4AP560,   0,234.0,35.4
22554,18556,  2,2,18,26,  4,A,P,556,   0.3738,11.500,36.357,  4AP556,   0,258.0,30.9
22555,18558,  2,2,18,27,  4,A,P,558,   0.3696,11.500,36.383,  4AP558,   6,222.0,8.0
22556,18562,  2,2,18,28,  4,A,P,562,   0.3612,11.500,36.438,  4AP562,   0,246.0,31.5
22557,18530,  2,2,18,29,  4,A,P,530,   0.4283,11.500,36.079,  4AP530,   0,246.0,29.8
22558,17883,  2,2,18,30,  4,A,R,603,   18.7874,0.064,0.784,  4AR603,   0,282.0,21.5
22559,18552,  2,2,18,31,  4,A,P,552,   0.3822,11.500,36.307,  4AP552,   0,258.0,30.1
22560,18570,  2,2,18,32,  4,A,P,570,   0.3445,11.500,36.554,  4AP570,   0,330.0,33.3
22561,18566,  2,2,18,33,  4,A,P,566,   0.3529,11.500,36.494,  4AP566,   0,270.0,30.5
22562,18522,  2,2,18,34,  4,A,P,522,   0.4450,11.500,36.016,  4AP522,   0,270.0,15.3
22563,17888,  2,2,18,35,  4,A,R,608,   18.3105,0.065,0.784,  4AR608,   0,246.0,20.5
22564,18538,  2,2,18,36,  4,A,P,538,   0.4115,11.500,36.153,  4AP538,   0,234.0,38.3
22565,18542,  2,2,18,37,  4,A,P,542,   0.4031,11.500,36.194,  4AP542,   0,270.0,29.6
22566,18572,  2,2,18,38,  4,A,P,572,   0.3403,11.500,36.585,  4AP572,   0,270.0,28.1
22567,17884,  2,2,18,39,  4,A,R,604,   18.6920,0.064,0.784,  4AR604,   0,294.0,20.8
22568,17881,  2,2,18,40,  4,A,R,601,   18.9782,0.063,0.784,  4AR601,   0,318.0,23.6
22569,17882,  2,2,18,41,  4,A,R,602,   18.8828,0.063,0.784,  4AR602,   0,282.0,21.2
22570,17891,  2,2,18,42,  4,A,R,611,   18.0244,0.066,0.784,  4AR611,   0,258.0,20.9
22571,18536,  2,2,18,43,  4,A,P,536,   0.4157,11.500,36.133,  4AP536,   0,282.0,27.7
22572,18518,  2,2,18,44,  4,A,P,518,   0.4534,11.500,35.988,  4AP518,   0,234.0,33.8
22573,18532,  2,2,18,45,  4,A,P,532,   0.4241,11.500,36.097,  4AP532,   0,270.0,14.8
22574,18578,  2,2,18,46,  4,A,P,578,   0.3277,11.500,36.681,  4AP578,   0,294.0,27.4
22575,18568,  2,2,18,47,  4,A,P,568,   0.3487,11.500,36.524,  4AP568,   0,294.0,27.7
22576,18580,  2,2,18,48,  4,A,P,580,   0.3235,11.500,36.715,  4AP580,   0,306.0,29.0
22577,18576,  2,2,18,49,  4,A,P,576,   0.3319,11.500,36.649,  4AP576,   0,294.0,27.6
22578,17905,  2,2,18,50,  4,A,R,625,   16.6891,0.072,0.784,  4AR625,   0,246.0,23.9
22579,18526,  2,2,18,51,  4,A,P,526,   0.4366,11.500,36.046,  4AP526,   0,270.0,29.5
22580,17902,  2,2,18,52,  4,A,R,622,   16.9752,0.071,0.784,  4AR622,   0,258.0,19.8
22581,17887,  2,2,18,53,  4,A,R,607,   18.4059,0.065,0.784,  4AR607,   0,294.0,20.1
22582,17899,  2,2,18,54,  4,A,R,619,   17.2613,0.069,0.784,  4AR619,   0,270.0,19.6
22583,18574,  2,2,18,55,  4,A,P,574,   0.3361,11.500,36.616,  4AP574,   0,306.0,27.0
22584,17896,  2,2,18,56,  4,A,R,616,   17.5475,0.068,0.784,  4AR616,   0,282.0,19.9
22585,18546,  2,2,18,57,  4,A,P,546,   0.3947,11.500,36.237,  4AP546,   0,282.0,27.2
22586,17897,  2,2,18,58,  4,A,R,617,   17.4521,0.069,0.784,  4AR617,   0,306.0,16.3
22587,17903,  2,2,18,59,  4,A,R,623,   16.8798,0.071,0.784,  4AR623,   0,246.0,20.4
22588,17898,  2,2,18,60,  4,A,R,618,   17.3567,0.069,0.784,  4AR618,   0,306.0,20.3
22589,17904,  2,2,18,61,  4,A,R,624,   16.7844,0.071,0.784,  4AR624,   0,282.0,20.6
22590,17879,  2,2,18,62,  4,A,R,599,   19.1764,0.062,0.784,  4AR599,   0,294.0,26.4
22591,17880,  2,2,18,63,  4,A,R,600,   19.0736,0.063,0.784,  4AR600,   0,318.0,19.4
22592,18365,  2,2,18,64,  4,A,P,365,   0.7739,19.125,36.844,  4AP365,   0,354.0,29.8
22593,18429,  2,2,18,65,  4,A,P,429,   0.6398,19.125,36.026,  4AP429,   0,342.0,27.4
22594,17856,  2,2,18,66,  4,A,R,576,   21.3702,0.056,0.784,  4AR576,   0,366.0,26.4
22595,18361,  2,2,18,67,  4,A,P,361,   0.7823,19.125,36.919,  4AP361,   0,294.0,10.2
22596,17855,  2,2,18,68,  4,A,R,575,   21.4656,0.056,0.784,  4AR575,   0,378.0,27.4
22597,18363,  2,2,18,69,  4,A,P,363,   0.7781,19.125,36.881,  4AP363,   0,330.0,28.4
22598,18367,  2,2,18,70,  4,A,P,367,   0.7697,19.125,36.808,  4AP367,   0,318.0,27.7
22599,18417,  2,2,18,71,  4,A,P,417,   0.6650,19.125,36.127,  4AP417,   0,366.0,25.4
22600,17877,  2,2,18,72,  4,A,R,597,   19.3672,0.062,0.784,  4AR597,   0,342.0,27.0
22601,17878,  2,2,18,73,  4,A,R,598,   19.2718,0.062,0.784,  4AR598,   0,342.0,24.6
22602,17853,  2,2,18,74,  4,A,R,573,   21.6563,0.055,0.784,  4AR573,   0,366.0,29.5
22603,18413,  2,2,18,75,  4,A,P,413,   0.6733,19.125,36.166,  4AP413,   0,306.0,10.9
22604,17854,  2,2,18,76,  4,A,R,574,   21.5609,0.056,0.784,  4AR574,   0,402.0,30.7
22605,18369,  2,2,18,77,  4,A,P,369,   0.7655,19.125,36.772,  4AP369,   0,330.0,27.4
22606,18373,  2,2,18,78,  4,A,P,373,   0.7571,19.125,36.703,  4AP373,   0,342.0,27.9
22607,17865,  2,2,18,79,  4,A,R,585,   20.5118,0.058,0.784,  4AR585,   0,390.0,23.5
22608,18375,  2,2,18,80,  4,A,P,375,   0.7529,19.125,36.670,  4AP375,   0,318.0,27.9
22609,18371,  2,2,18,81,  4,A,P,371,   0.7613,19.125,36.737,  4AP371,   0,306.0,15.3
22610,18431,  2,2,18,82,  4,A,P,431,   0.6356,19.125,36.011,  4AP431,   0,402.0,30.8
22611,18409,  2,2,18,83,  4,A,P,409,   0.6817,19.125,36.208,  4AP409,   0,390.0,25.7
22612,18425,  2,2,18,84,  4,A,P,425,   0.6482,19.125,36.057,  4AP425,   0,402.0,26.4
22613,17876,  2,2,18,85,  4,A,R,596,   19.4626,0.062,0.784,  4AR596,   0,354.0,24.2
22614,17875,  2,2,18,86,  4,A,R,595,   19.5580,0.061,0.784,  4AR595,   0,330.0,26.2
22615,18401,  2,2,18,87,  4,A,P,401,   0.6985,19.125,36.299,  4AP401,   0,390.0,26.6
22616,18381,  2,2,18,88,  4,A,P,381,   0.7404,19.125,36.574,  4AP381,   0,342.0,27.9
22617,18379,  2,2,18,89,  4,A,P,379,   0.7446,19.125,36.605,  4AP379,   0,306.0,25.8
22618,17863,  2,2,18,90,  4,A,R,583,   20.7025,0.058,0.784,  4AR583,   0,390.0,30.2
22619,18377,  2,2,18,91,  4,A,P,377,   0.7487,19.125,36.637,  4AP377,   0,378.0,27.8
22620,18383,  2,2,18,92,  4,A,P,383,   0.7362,19.125,36.543,  4AP383,   0,354.0,27.8
22621,18397,  2,2,18,93,  4,A,P,397,   0.7068,19.125,36.348,  4AP397,   0,390.0,28.0
22622,17873,  2,2,18,94,  4,A,R,593,   19.7487,0.061,0.784,  4AR593,   0,366.0,24.6
22623,18393,  2,2,18,95,  4,A,P,393,   0.7152,19.125,36.401,  4AP393,   0,426.0,16.8
22624,17858,  2,2,18,96,  4,A,R,578,   21.1794,0.057,0.784,  4AR578,   0,414.0,28.6
22625,18385,  2,2,18,97,  4,A,P,385,   0.7320,19.125,36.514,  4AP385,   0,354.0,26.6
22626,17857,  2,2,18,98,  4,A,R,577,   21.2748,0.056,0.784,  4AR577,   0,390.0,26.8
22627,17874,  2,2,18,99,  4,A,R,594,   19.6533,0.061,0.784,  4AR594,   0,342.0,24.2
22628,17860,  2,2,18,100,  4,A,R,580,   20.9887,0.057,0.784,  4AR580,   0,414.0,27.5
22629,18389,  2,2,18,101,  4,A,P,389,   0.7236,19.125,36.456,  4AP389,   0,342.0,26.3
22630,17872,  2,2,18,102,  4,A,R,592,   19.8441,0.060,0.784,  4AR592,   0,354.0,24.5
22631,18405,  2,2,18,103,  4,A,P,405,   0.6901,19.125,36.252,  4AP405,   0,378.0,25.6
22632,17871,  2,2,18,104,  4,A,R,591,   19.9395,0.060,0.784,  4AR591,   0,390.0,25.4
22633,18387,  2,2,18,105,  4,A,P,387,   0.7278,19.125,36.484,  4AP387,   0,330.0,26.3
22634,17870,  2,2,18,106,  4,A,R,590,   20.0349,0.060,0.784,  4AR590,   0,378.0,26.4
22635,18403,  2,2,18,107,  4,A,P,403,   0.6943,19.125,36.275,  4AP403,   0,378.0,26.7
22636,17859,  2,2,18,108,  4,A,R,579,   21.0840,0.057,0.784,  4AR579,   0,426.0,29.1
22637,18399,  2,2,18,109,  4,A,P,399,   0.7027,19.125,36.323,  4AP399,   0,402.0,29.8
22638,17869,  2,2,18,110,  4,A,R,589,   20.1302,0.060,0.784,  4AR589,   0,402.0,28.8
22639,18395,  2,2,18,111,  4,A,P,395,   0.7110,19.125,36.374,  4AP395,   0,426.0,19.5
22640,17862,  2,2,18,112,  4,A,R,582,   20.7979,0.058,0.784,  4AR582,   0,414.0,29.3
22641,18391,  2,2,18,113,  4,A,P,391,   0.7194,19.125,36.428,  4AP391,   0,390.0,27.6
22642,17861,  2,2,18,114,  4,A,R,581,   20.8933,0.057,0.784,  4AR581,   0,450.0,28.7
22643,18415,  2,2,18,115,  4,A,P,415,   0.6691,19.125,36.146,  4AP415,   0,450.0,27.5
22644,17868,  2,2,18,116,  4,A,R,588,   20.2256,0.059,0.784,  4AR588,   0,414.0,31.0
22645,18411,  2,2,18,117,  4,A,P,411,   0.6775,19.125,36.187,  4AP411,   0,426.0,28.4
22646,17867,  2,2,18,118,  4,A,R,587,   20.3210,0.059,0.784,  4AR587,   0,390.0,41.1
22647,18407,  2,2,18,119,  4,A,P,407,   0.6859,19.125,36.229,  4AP407,   0,426.0,28.8
22648,17864,  2,2,18,120,  4,A,R,584,   20.6071,0.058,0.784,  4AR584,   0,414.0,33.2
22649,18419,  2,2,18,121,  4,A,P,419,   0.6608,19.125,36.108,  4AP419,   0,450.0,29.0
22650,17866,  2,2,18,122,  4,A,R,586,   20.4164,0.059,0.784,  4AR586,   0,438.0,42.5
22651,18421,  2,2,18,123,  4,A,P,421,   0.6566,19.125,36.091,  4AP421,   0,474.0,30.5
22652,17852,  2,2,18,124,  4,A,R,572,   21.7517,0.055,0.784,  4AR572,   0,462.0,31.9
22653,18423,  2,2,18,125,  4,A,P,423,   0.6524,19.125,36.073,  4AP423,   0,462.0,30.1
22654,17851,  2,2,18,126,  4,A,R,571,   21.8471,0.055,0.784,  4AR571,   0,462.0,34.6
22655,18427,  2,2,18,127,  4,A,P,427,   0.6440,19.125,36.041,  4AP427,   0,594.0,31.7
22656,17840,  2,2,19,0,  4,A,R,560,   22.8963,0.052,0.784,  4AR560,   6,198.0,8.5
22657,18433,  2,2,19,1,  4,A,P,433,   0.6314,19.125,35.997,  4AP433,   0,198.0,17.9
22658,17838,  2,2,19,2,  4,A,R,558,   23.0870,0.052,0.784,  4AR558,   4,186.0,19.0
22659,18439,  2,2,19,3,  4,A,P,439,   0.6189,19.125,35.959,  4AP439,   0,198.0,18.0
22660,17833,  2,2,19,4,  4,A,R,553,   23.5639,0.051,0.784,  4AR553,   4,186.0,19.9
22661,18437,  2,2,19,5,  4,A,P,437,   0.6231,19.125,35.971,  4AP437,   0,198.0,16.8
22662,18435,  2,2,19,6,  4,A,P,435,   0.6273,19.125,35.984,  4AP435,   0,198.0,15.7
22663,18441,  2,2,19,7,  4,A,P,441,   0.6147,19.125,35.947,  4AP441,   0,198.0,19.4
22664,17837,  2,2,19,8,  4,A,R,557,   23.1824,0.052,0.784,  4AR557,   4,210.0,21.6
22665,18453,  2,2,19,9,  4,A,P,453,   0.5895,19.125,35.892,  4AP453,   0,270.0,34.5
22666,17834,  2,2,19,10,  4,A,R,554,   23.4685,0.051,0.784,  4AR554,   4,198.0,25.0
22667,18449,  2,2,19,11,  4,A,P,449,   0.5979,19.125,35.908,  4AP449,   4,198.0,19.8
22668,17831,  2,2,19,12,  4,A,R,551,   23.7547,0.050,0.784,  4AR551,   4,198.0,20.8
22669,18445,  2,2,19,13,  4,A,P,445,   0.6063,19.125,35.926,  4AP445,   0,198.0,16.6
22670,17829,  2,2,19,14,  4,A,R,549,   23.9454,0.050,0.784,  4AR549,   0,258.0,32.0
22671,18471,  2,2,19,15,  4,A,P,471,   0.5518,19.125,35.852,  4AP471,   0,270.0,29.7
22672,17846,  2,2,19,16,  4,A,R,566,   22.3240,0.054,0.784,  4AR566,   0,210.0,21.0
22673,18475,  2,2,19,17,  4,A,P,475,   0.5435,19.125,35.850,  4AP475,   0,270.0,28.4
