This data are from 
M.E.Riley et al, Theoretical Electron-Atom Elastic Scattering CrossSections.
Atomic Data and Nuclear Data Tables 15,443-476(1975)

These parameters for Twelve-Parameter Fits to Diff. Cross Sct.
 1.673e+00  1.560e-01  9.874e-02 -6.346e-02 -1.903e-01 -5.139e-01 -1.064e+00 -1.185e+00 -5.353e-01
 7.729e-01 -1.767e-02 -1.009e-01 -2.285e-02 -8.250e-02 -2.113e-01 -4.574e-01 -5.013e-01 -2.190e-01
 3.250e-01  1.629e-01 -6.985e-03 -6.220e-03 -2.451e-02 -5.535e-02 -1.188e-01 -1.211e-01 -4.916e-02
 1.370e-02  1.570e-03  8.577e-04  5.040e-04  3.289e-04  2.247e-04  1.675e-04  1.176e-04  1.176e-04

$ 94
-3.720e+00 -1.683e-02  9.762e-02  2.759e-01  6.552e-01  1.245e+00   2.095e00  1.760e+00  1.671e+00
 3.302e-01  3.583e-03  6.236e-03  1.033e-02  1.701e-02  3.398e-02  5.803e-02 1.149e-01   1.598e-01
-1.389e-02 -9.377e-06 -1.693e-05 -1.649e-05 -1.650e-05 -3.350e-05 -4.017e-05 -9.931e-05 -9.309e-05
 2.260e-04  3.495e-08  6.323e-08  2.510e-08  9.945e-09  2.457e-08  1.497e-08  4.810e-08  2.875e-08
 5.042e+00  1.372e-01 -3.155e-03 -1.713e-01 -6.202e-01 -1.472e+00 -2.922e+00 -2.290e+00 -2.045e+00
 5.864e+00  1.530e-01 -9.787e-02 -2.938e-01 -7.819e-01 -1.841e+00 -3.901e+00 -3.011e+00 -2.575e+00
 4.347e+00  2.746e-01  9.559e-02 -4.028e-02 -3.694e-01 -1.175e+00 -3.057e+00 -2.463e+00 -2.221e+00
 2.700e+00  1.484e-01 -8.959e-02 -1.870e-01 -3.350e-01 -6.832e-01 -1.984e+00 -1.619e+00 -1.523e+00
 1.498e+00  2.267e-01  1.396e-01  3.759e-02 -1.909e-01 -3.324e-01 -1.075e+00 -8.686e-01 -8.488e-01
 6.907e-01  2.844e-02 -9.395e-02  2.502e-02 -8.222e-02 -1.302e-01 -4.621e-01 -3.565e-01 -3.569e-01
 2.898e-01  1.804e-01  5.701e-03  9.902e-03 -2.438e-02 -3.077e-02 -1.205e-01 -8.268e-02 -8.362e-02
 1.367e-02  1.738e-03  1.271e-03  6.628e-04  3.334e-04  2.939e-04  1.660e-04  1.660e-04  1.006e-04
